,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,0.0,1.0,0.0,0.0,1.0,0.0,1.0
prec@10,0.5,0.6,0.6,0.7,0.7,0.8,0.9
recall@10,0.10638297872340426,0.1276595744680851,0.1276595744680851,0.14893617021276595,0.14893617021276595,0.1702127659574468,0.19148936170212766
ndcg,0.42021722679557805,0.6364741801035539,0.461568684742548,0.599976751690748,0.6726934039987301,0.685119869332369,0.9148568823583791
serendipity@10,0.027956989247311836,0.09462365591397849,0.020430107526881736,0.06666666666666668,0.05913978494623658,0.07526881720430109,0.08870967741935486
