,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
prec@10,0.6,0.2,0.6,0.7,0.8,0.7,0.7
recall@10,0.20689655172413793,0.06896551724137931,0.20689655172413793,0.2413793103448276,0.27586206896551724,0.2413793103448276,0.2413793103448276
ndcg,0.5341769051617135,0.17318663334822615,0.5363559634917964,0.7167674835027338,0.6410457898283654,0.6975961695061492,0.5559026721867444
serendipity@10,0.022043010752688174,0.020967741935483876,0.009139784946236563,0.051075268817204325,0.06236559139784949,0.06397849462365593,0.05215053763440862
