,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
prec@10,0.7,0.4,0.6,0.9,0.9,1.0,0.8
recall@10,0.23333333333333334,0.13333333333333333,0.2,0.3,0.3,0.3333333333333333,0.26666666666666666
ndcg,0.7257345305446319,0.45306437485515383,0.6212166613240647,0.9216017310213247,0.9216017310213247,1.0,0.7015099647232446
serendipity@10,0.026344086021505387,0.0413978494623656,0.007526881720430101,0.07096774193548389,0.07150537634408602,0.08870967741935484,0.06451612903225808
