,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,0.0,1.0,0.0,1.0,0.0,0.0,1.0
prec@10,0.7,0.8,0.7,1.0,0.7,0.7,0.9
recall@10,0.21212121212121213,0.24242424242424243,0.21212121212121213,0.30303030303030304,0.21212121212121213,0.21212121212121213,0.2727272727272727
ndcg,0.599976751690748,0.8200685179888282,0.5309999066793252,1.0,0.5559026721867444,0.5309999066793252,0.8899541168509599
serendipity@10,0.029032258064516148,0.09301075268817205,0.012903225806451613,0.07258064516129034,0.050000000000000024,0.03817204301075271,0.059139784946236576
