,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
prec@10,0.8,0.9,0.8,0.8,0.8,0.8,0.8
recall@10,0.17391304347826086,0.1956521739130435,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086
ndcg,0.7917063341896682,0.9216017310213247,0.7917063341896682,0.8200685179888283,0.7663491917568948,0.6698623505528798,0.7065443116025598
serendipity@10,0.020967741935483886,0.05000000000000001,0.0,0.05161290322580647,0.050537634408602185,0.04623655913978497,0.04946236559139787
