,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
prec@10,0.6,0.5,0.7,0.7,0.7,0.6,0.6
recall@10,0.2727272727272727,0.22727272727272727,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.2727272727272727,0.2727272727272727
ndcg,0.6090726157997783,0.5166851630541055,0.5676818677290052,0.61886564587798,0.6777277508780454,0.498250645792228,0.461568684742548
serendipity@10,0.011290322580645173,0.03655913978494625,0.008064516129032261,0.0360215053763441,0.034946236559139796,0.024731182795698935,0.022580645161290335
