,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,0.0,0.0,0.0,1.0,1.0,0.0,0.0
prec@10,0.8,0.6,0.6,0.7,0.7,0.6,0.6
recall@10,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.23076923076923078
ndcg,0.685119869332369,0.5341769051617135,0.5684579545875156,0.78180487222265,0.7682269253321374,0.5302442049991307,0.5520678591966401
serendipity@10,0.030107526881720435,0.03333333333333335,0.012365591397849452,0.04731182795698925,0.053225806451612914,0.04516129032258065,0.05376344086021506
