,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
prec@1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
prec@10,0.5,0.5,0.6,0.7,0.6,0.7,0.7
recall@10,0.21739130434782608,0.21739130434782608,0.2608695652173913,0.30434782608695654,0.2608695652173913,0.30434782608695654,0.30434782608695654
ndcg,0.4608129830623534,0.5370079586075638,0.4825387500873842,0.7183424120903081,0.6530488081313035,0.7381919257729246,0.7630946912803437
serendipity@10,0.021505376344086023,0.03870967741935485,0.017204301075268835,0.05053763440860217,0.04408602150537636,0.05591397849462367,0.060752688172043025
