,0
0,0
1,1
2,2
4,3
5,4
6,5
7,6
9,7
10,8
14,9
15,10
16,11
17,12
19,13
20,14
21,15
22,16
23,17
24,18
25,19
30,20
31,21
33,22
35,23
38,24
40,25
41,26
42,27
43,28
44,29
45,30
46,31
50,32
51,33
52,34
53,35
54,36
55,37
56,38
58,39
60,40
62,41
63,42
64,43
67,44
68,45
69,46
70,47
71,48
72,49
73,50
74,51
75,52
81,53
82,54
84,55
87,56
89,57
90,58
91,59
94,60
95,61
96,62
97,63
99,64
100,65
102,66
104,67
105,68
107,69
108,70
111,71
112,72
113,73
114,74
115,75
118,76
119,77
121,78
123,79
126,80
127,81
128,82
129,83
130,84
131,85
132,86
133,87
134,88
136,89
137,90
138,91
139,92
141,93
143,94
144,95
145,96
147,97
148,98
149,99
150,100
153,101
154,102
157,103
158,104
159,105
160,106
161,107
162,108
163,109
164,110
166,111
167,112
170,113
175,114
178,115
3,116
37,117
39,118
98,119
122,120
11,121
12,122
26,123
32,124
36,125
47,126
155,127
165,128
13,129
29,130
76,131
151,132
8,133
27,134
49,135
169,136
176,137
177,138
28,139
34,140
48,141
61,142
80,143
83,144
85,145
88,146
106,147
110,148
120,149
156,150
57,151
59,152
65,153
78,154
79,155
86,156
93,157
101,158
103,159
109,160
116,161
117,162
124,163
125,164
140,165
146,166
18,167
92,168
135,169
142,170
152,171
168,172
171,173
172,174
173,175
179,176
77,177
66,178
174,179
180,180
181,181
182,182
183,183
184,184
185,185
