,0
0,0
1,1
2,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
28,27
29,28
30,29
31,30
32,31
33,32
34,33
35,34
37,35
38,36
40,37
41,38
42,39
43,40
44,41
45,42
46,43
48,44
49,45
50,46
51,47
52,48
53,49
54,50
55,51
56,52
58,53
59,54
60,55
61,56
62,57
63,58
64,59
65,60
66,61
67,62
68,63
69,64
70,65
71,66
72,67
73,68
74,69
75,70
76,71
77,72
79,73
81,74
82,75
84,76
85,77
87,78
88,79
89,80
90,81
91,82
92,83
94,84
95,85
96,86
97,87
98,88
99,89
100,90
101,91
102,92
103,93
104,94
105,95
106,96
107,97
108,98
109,99
110,100
111,101
112,102
113,103
114,104
115,105
118,106
119,107
121,108
122,109
123,110
126,111
127,112
128,113
129,114
130,115
131,116
132,117
133,118
134,119
135,120
136,121
137,122
138,123
139,124
140,125
141,126
142,127
143,128
144,129
145,130
147,131
148,132
149,133
150,134
151,135
152,136
153,137
154,138
155,139
156,140
157,141
158,142
159,143
160,144
161,145
162,146
163,147
164,148
165,149
166,150
167,151
170,152
175,153
178,154
3,155
39,156
36,157
47,158
176,159
125,160
169,161
177,162
80,163
83,164
120,165
146,166
57,167
78,168
86,169
93,170
116,171
117,172
124,173
168,174
171,175
172,176
173,177
174,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
