,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Смертельное оружие (1987)
Lethal Weapon","Аватар
Avatar, 2009","Джокер (2019)
Joker","Сотни бобров (2024)
Hundreds of Beavers"
1,"Бесславные ублюдки
Inglourious Basterds, 2009","Залечь на дно в Брюгге (2007)
In Bruges","Интерстеллар
Interstellar, 2014","Неогранённые алмазы (2019)
Uncut Gems","Большой куш
Snatch, 2000"
2,"Леон
Léon, 1994","Только бог простит (2012)
Only God Forgives","Титаник (1997)
Titanic","Телохранитель киллера (2017)
The Hitman's Bodyguard","Неогранённые алмазы (2019)
Uncut Gems"
3,"Ла-Ла Ленд
La La Land, 2016","Место под соснами (2012)
The Place Beyond the Pines","Джокер (2019)
Joker","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Папа, сдохни (2018)"
4,"Зомби по имени Шон (2004)
Shaun of the Dead","Ла-Ла Ленд
La La Land, 2016","Криминальное чтиво
Pulp Fiction, 1994","Сотни бобров (2024)
Hundreds of Beavers","Анора (2024)
Anora"
5,"Аватар
Avatar, 2009",Майор Гром: Игра (2024),"Головоломка (2015)
Inside Out","Анора (2024)
Anora","Как поймать монстра (2014)
Lost River"
6,"Криминальное чтиво
Pulp Fiction, 1994",Курьер (1986),"Мстители: Финал (2019)
Avengers: Endgame","Как поймать монстра (2014)
Lost River","Психо (1960)
Psycho"
7,"Интерстеллар
Interstellar, 2014","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Ла-Ла Ленд
La La Land, 2016","Психо (1960)
Psycho","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
8,"Большой куш
Snatch, 2000","Как поймать монстра (2014)
Lost River","Леон
Léon, 1994","Фарго (1995)
Fargo","Бесславные ублюдки
Inglourious Basterds, 2009"
9,"Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems",Наша Russia: Яйца судьбы (2010),"Бесславные ублюдки
Inglourious Basterds, 2009","Фарго (1995)
Fargo"
